"Name","Review"
"Đông Văn","Làm lại thẻ master card thì nhân viên báo đóng stk cũ mở stk mới, rồi lại phát hành thẻ của mình theo stk cũ, giờ nhận thẻ về vứt xó không tài nào sử dụng được, còn tk mới thì không phát hành thẻ. cay 1 chỗ là đợi hơn 1 tháng mới có thẻ, ra nhận thẻ thì nhân viên kiểu cười đểu cả buổi coi mình như thằng nhà quê, dịch vụ quá chán"
"Xây dựng Phương Đông","Rộng rãi, giao dịch thuận lợi, có ATM"
"Manh Nguyenduc","Ngân hàng có mặt tiền khá đẹp. Đường rộng, hè thoáng..."
"Nguyen H","Như kiểu bị thiếu nhân vân ấy, kh ngồi chờ 1 dãy dài ko đc gọi"
"Hoang Viet Bui","Nhân viên quá mất dạy .
Là con nhân viên quèn mà làm như giám đốc không bằng .
Ngày 27/04/2023"
"Hoàng Huy","Thái độ nhân viên phục vụ chán, thông báo đến lượt thì chả có loa, hiển thị mỗi số trên bảng điện tử. Số của mình là **7 thì bảng đã hiện đến số **8 mà chả thấy loa gì cả ( minh bị 2 lần trên tổng số 4 lần qua ngan hang làm việc ). Ra đến …"
"Nga Lê","Thái độ nhân viên ở quầy lấy số thứ tự không tốt. Dù dán mắt xem màn hình và rất tập trung nghe số nhưng số của mình vẫn bị qua mà không hiểu lý do. Chờ lâu quá nên đi ra ngoài quầy lấy số hỏi lại thì thái độ nhân viên rất khó chịu. Giả sử …"
"phương thu","ngân hàng hãm, nhân viên ban quản lý lộng quyền, đi nhầm đường vào đố đòi lặp biên bản xử phạt"
"Hoa Nguyen","Đánh giá 1 sao. Ngân hàng thì rõ to mà không có bảng bấm số. Khách vào đông nên lộn xộn lố nhố. Đi loanh quanh hơn 20 quầy cũng k tìm đc quầy gửi tiền"
"Kasim Hoàng Nhật","Nhân viên lơ là, phục vụ rất rất chậm, chờ hàng tiếng đồng hồ cũng chẳng có hồi âm gì"
"Công Lý","Ngân hàng có lúc không mở được thẻ hôm sao vào lại ứng dụng này tự nhiên có ảnh thẻ vật lý"
"Vi Chiến Thắng","Ngân hàng Kiến thiết Việt Nam Là  đơn vị phân phối các sản phẩm Bảo hiểm phi nhân thọ được ngoại hình phù hợp trong khái quát những sản phẩm trọn gói của BIDV tới quý khách"
"Hanh Nguyen","Không đông khách mà chờ dài cổ, nhân viên lề mề"
"Ngo Hai Anh","Quầy giao dịch sạch đẹp, chuyên nghiệp. Chất lượng phục vụ ngày càng tốt hơn"
"Nguyen Nhat Minh","Giao dịch rút tiền quá chậm. Mất cả tiếng đồng hồ"
"Duong Nghiem xuan","Khu trung tâm quận. Mặt bằng rộng tiện lợi cho khách đên giao dịch."
"Dung Hoang Tien","Rất chuyên nghiệp"
"Huyền Hà","Không thích thái độ phục vụ của nhân viên."
"Ngô Trang","văn phòng đẹp, nhân viên nhiệt tình"
"Lợi Nguyễn","Dịch vụ tốt, xử lý cho khách hàng nhanh"
"Nana Am","Văn phòng ở đây rất đẹp"
"ABV Điện ảnh","thích vì gần chỗ mình"
"Sơn Nguyễn","Trụ sở chính to đẹp, rộng rãi"
"Máy Giặt","hôm nào sẽ qua đây"
"Nguyễn Thị Mai Hương","Không gọi được"
"Lịch Lê","rất tốt"
"LaI Truong Son","Vẫn hoạt động"
"Aka TQ Quý","phục vụ tốt"
"Nguyễn Anh Tuấn (Nguyễn Tuấn)","To bự"
"Nguyen Hung","Tốt"
"Trung Nguyen Thanh","like"
"Hoang Nguyen","Tốt"
"Cuong Nguyen Duc","Kia kia"
"Gamuda Gardens","adfa"
"Nhathuy gamer","Vdr"
"Phúc Lê Duy",""
"thương nguyễn",""
"Trường Hoàng Đức",""
"DonnieChu",""
"Tuấn Nguyễn",""
"Anh Lê",""
"Lê Phú (Minh)",""
"Beny one",""
"Nguyễn Tiến Lực",""
"Nguyễn Thị Bích Phương",""
"NGUYEN TUAN ANH 007",""
"Đoàn Minh Quang",""
"Ngọc Anh Đinh",""
