"Name","Review"
"duong cuong","Nhân viên làm quá chậm, quá lâu, mất thời gian của khách hàng. Đợi cấp mã pin mà chờ hơn 1 tiếng vẫn chưa đến lượt. Lãnh đạo Vcb nên thay đổi lại nhân sự có trình độ và phục vụ nhanh hơn."
"An Huynh","Đề nghị app cập nhật lại là 16h đóng cửa thay vì 16h30 nhé. Đến lúc 16h15 thấy để biển không cho vô nên gọi bác bảo vệ để hỏi giờ đóng cửa chính xác thôi. Gọi rất lễ phép và nhỏ nhẹ mấy lần ""Chú ơi"" mà chú bơ đi. Xong lúc mình lại gần chưa kịp hỏi gì thì nhăn mặt gắt lên bảo ""Không nhìn thấy à"" mà thái độ như chửi vào mặt mình luôn ấy"
"You're My","😁Bảo vệ thân thiện, nhân viêm phục vụ tốt …"
"Tuan Le Anh","+ vị chí đẹp dịch vụ tốt
+ hàng đông"
"MINH HIẾU","Tưởng nhân viên ngân hàng top 1 Việt Nam thế nào, chạy tiền vào ngồi ghế ăn lương không sai, nghiệp vụ kém, chậm chạp, không tiếp khách hàng... chi nhánh này chắc chỉ tiếp khách VIP, Còn không bằng một phần thái độ của Agribank. Chuẩn ngân hàng chỉ để nhận lương :)"
"Ngo Q Dao","Ngân hàng làm việc hiệu quả"
"Tấn Nguyễn Việt","Nhân viên làm việc quá chậm, ngồi không biết làm gì để cửa trống lâu, cấp lại mật khẩu chờ 2 tiếng"
"Linh Dau","Chỗ để xe chật, bảo vệ thái độ với khách. Vào làm việc thì phải chờ rất lâu. Một lần tôi đến giao dịch, lấy số để xếp hàng và chờ nửa tiếng. Khi loa thông báo đến lượt, tôi ra quầy giao dịch thì nhân viên báo nhầm số và yêu cầu tôi đi ra, …"
"Hung Ninh","Cấp lại cái mật khẩu app thôi mà đợi hơn 1h đồng hồ, tác phong nhân viên quá chậm chạp, cãi nhau với khách hàng ngay tại quầy. Chưa thấy ngân hàng nào lởm như vietcom"
"Katherine Nguyen","4h10 có mặt tại đây xin cái xác nhận tài khoản mà nhân viên kêu còn vài người đang đợi nhận sao kê, nên họ mời về. Dịch vụ và thái độ ko giống các đơn vị dịch vụ mà như kiểu đi cầu cạnh ""cơ quan nhà nước"", lhacs hẳn mấy chi nhánh vcb lớn ở Sài Gòn."
"Quang Dũng","Đi từ công ty gần đó tới ngân hàng để lấy thẻ. Bảo vệ yêu cầu đeo khẩu trang nhưng mình quên mang, được hướng dẫn ra ngoài để lấy. Lúc đưa bảo vệ yêu cầu trả 5 nghìn cho 1 chiếc khẩu trang mỏng dính? …"
"Le Thi Hoai Thu","Phục vụ rất chậm
Lấy số xong chờ 30-45 phút không tới lượt
Đặt lịch hẹn lấy PIN với thẻ quá tận 4 ngày rồi mà gọi mấy lượt đều bảo chưa có này nọ"
"Hiếu Lê","Dịch vụ gửi tiền rất tốt vì chỉ yêu cầu khách hàng viết số tài khoản, việc còn lại để ngân hàng lo.
Tuy nhiên, 16h hàng ngày đã đóng cửa giao dịch tiền mặt."
"Ha Duy","Chờ cả tiếng để xin xác nhân số tk
Chưa kể nhân viên thì thái độ ko muốn tiếp.
Không bao giờ muốn quay lại."
"Nguyễn Đình Duẩn","Nơi này thường đông đúc, bạn cần phải thực hiện vé của bạn và chờ đợi cho đến khi họ gọi ra số của bạn. 11.000 vnd trở lên mỗi lần giao dịch"
"Duy Hà","Đợi chờ rất lâu.
Rất bực mình mỗi khi tới giao dịch, bất đắc dĩ mới phải tới."
"Tuấn Anh Hoàng","Thực hiện các Giao dịch cho khách hàng chậm chạp"
"Le Pham","Mỗi lần đên đây xác định chờ hơn 1 tiếng mới đến lượt,  cảm giác thấy sợ khi phải dùng các dịch vụ tại quầy của vietcombank"
"Tuan Hoang","Chi nhánh nàyrất  đông khách, có khi đến phải chờ gần 1h còn chưa gửi được tiền."
"Đoàn Tuấn Anh","Tác phong chậm chạp, lề mề, đến 1 lần mà không bjo quay lại"
"Dinh Trung","Làm chậm. Mất thời gian mà kêu không ưu tiên rút séc. Rút séc phải đợi."
"Cam's House","Góp ý thật là ngân hàng to, khang trang, đúng quy trình nhưng đông quá! Ngồi chờ cả nửa buổi mới tới lượt..."
"Quân Nguyễn","Quá tệ! Làm ăn chậm như rùa, đốt thời gian của người khác!"
"Com Tiem","16h đến nhưng bảo vệ báo hết giờ không cho vào."
"Chung Kiên","ATM khá nhiều"
"Van Tran","Lần trước mình vào gửi tiền cũng khá nhanh, có nhiều atm ở ngoài cũng tiện"
"Thục Nguyễn","Giao dịch viên gõ nhầm tên người nhận, gây thiệt hại cho khách hàng"
"Hà Thái","Phục vụ nhanh, chuyên nghiệp"
"Dang Van Hai","Atm 3 lần rút tiền thì cả 3 đều trừ mà tiền k ra. Lần bị nuốt thẻ"
"LE TRUNG HA","Dịch vụ tốt, nhưng khách đông quá nên đáp ứng hơi chậm."
"Khánh Ly","Chờ đợi lâu và hay lỗi"
"Long Truong","giao dịch nhanh ...nhân viên hỗ trợ nhiệt tình"
"Trong Back","This place usually get crowded, you need to take your ticket and wait till they call out your number. 11,000 vnd or more per transfer"
"Quyết Phạm Bá","Mình hay rút tiền ở đây, hiện đại, lịch sự, nói chung ổn"
"Tuấn Hương","T7 ngân hàng có làm việc k"
"Trang Đào","Làm việc quá chậm"
"Thịnh Phạm Văn","Hiện đại, thân thiện"
"오종민","Worst  !!
Do not need more  explain
Exprence yourself"
"BonNa Perfume","Tốt nhưng phải chờ đợi khá lâu"
"Chung Do","Tác phong nhanh gọn"
"Phạm Ngọc Chuyển","chờ quá lâu"
"Cam Dao","Ở đây có 3 cây ATM vietcombank."
"Tâm Nguyễn Văn","Đông khách, đợi lâu dã man"
"Nguyễn Thưởng","Cây ATM thường xuyên lỗi, hết tiền."
"H Steve","Dịch vụ kém"
"Hoc Seo","ngân hàng rất tốt ạ"
"Thienkim Chu","Cực kỳ mất thời gian"
"Hung Nguyen","Vị trí đẹp nên khá đông"
"Self Study","Phục vụ tốt"
"FIGHT LAND","Hơi chậm"
"Anh Quan","ok"
"HAY NHẤT HOẠT HÌNH 3D (CD'IT)","Thân thiện và tốt"
"Quang Đức Bùi","Rất tốt"
"MaxB Nhà sản xuất biển quảng cáo chuyên nghiệp","Đẳng cấp"
"AK Doan","Takes 1.5 hour of waiting"
"Tugay S.","If you want to lose a lot of time then go to vietcombank!"
"Lucky Phạm","Phục vụ tốt"
"Điền Trần","Khá chuyên nghiệp"
"Hoàng Thanh Nguyễn","Vietcombank phạm hùng"
"Phong Tran","Đông khách"
"Hoang Nguyen","Tốt"
"Hoàng Đỗ Văn","Good"
"Kevin Pham","Poor service"
"Quý Nguyễn Thư Cao","Ok"
"Sang Hmm","16h là xong.
Mở cửa đến 16:00.
Mở cửa đến 16:00."
"Hoàng Lê","Trao đổi với Vinhome West Point"
"Gamuda Gardens","sdfad"
"Mây Trần",""
"Quang nguyen hung",""
"Hương Phùng",""
"Xuân Lưu Thị Thanh",""
"Vì Em Là Con Gái",""
"Duy Ha",""
"NT Vu",""
"Duy Phạm Ngọc",""
"AN PHAM",""
"Nguyễn Tiến Phúc",""
"Yến Phương",""
"Lâm Phạm",""
"형준선",""
"Hoanhimhip",""
"Thanh Phan",""
"KIM LONG",""
"Khánh Linh Nguyễn",""
"Nhung Pham",""
"BaoAn Bui",""
"Chí Lê",""
"duyen pham thi",""
