"Name","Review"
"Hoa Diệu","Bảo vệ chửi khách.
Mình vào gửi xe, định lên tầng lấy tiền xong xuống gửi vào thẻ luôn. Nhưng chưa kịp lên tầng lấy tiền thì bảo vệ đuổi ra bắt dắt xe sang chỗ khác, dù đã giải …"
"bích Nguyễn","Dù phải đi xa hơn so với BIDV Lê Văn Lương, nhưng mình thường xuyên đến, vì ở đây thân thiện từ chú bảo vệ. Dù lúc đông khách hay vắng khách, mọi ng làm rất chuẩn- nhanh nhẹn- thân thiện với khách. Vote 5 sao!"
"Le Nga","Các bạn nhân viên trẻ, nhiệt tình"
"Thùy Linh Trần","Nhân viên nhiệt tình. Làm việc nhanh chóng"
"Huong Le","Một chi nhánh tuyệt vời! Nên trải nghiệm thử ạ"
"song ngu","Nhân viên nhiệt tình, cơ sở vật chất khang trang"
"Dr.Doof Evil","Nhân viên nhiệt tình, làm việc hiệu quả"
"Phung Thi Mi Hanh FX15720","Bảo vệ làm ăn rất bố láo , khách vào ngân hàng không chỉ chỗ đỗ xe  . Khách hàng đỗ sai chỗ chỉ mới mở mồm ra được  nhưng là mở mồm để chửi  mong sớm đuổi việc"
"hahuy le","Chi nhánh lớn, đầu tư cơ sở vật chất hiện đại!"
"Tuyết Nguyễn","sang xịn mịn, nhân viên nhanh nhẹn nhiệt tình"
"Huy Nguyễn","BIDV này thấy Chuyên nghiệp, ổn lắm này. Vay siêu rẻ"
"Chi Dao","Ngân hàng uy tín, chuyên nghiệp. Gắn bó dài lâu"
"Vi Chiến Thắng","BIDV bank Là  đơn vị sản xuất các sản phẩm Bảo hiểm phi nhân thọ được bề ngoài phù hợp trong tổng thể những sản phẩm trọn gói của BIDV đến quý khách"
"Time Part","Giờ làm việc đến 11h30 mà 11h25 đến đã từ chối nhận khách rồi"
"đin nguyệt","Dịch vụ tốt nhất tôi từng trải nghiệm"
"Trang Nguyễn Kiều","Ngân hàng tuyệt vời nhất địa bàn Hà Nội 😍 …"
"Linh Nhat","Cơ sở vật chất tốt, NV thân thiện"
"Nguyễn Ly","Dịch vụ nhanh và chuyên nghiệp."
"Gà Nướng Lù","Ok, trụ sở khang trang, tư vấn nhiệt tình"
"Thu Hà Trần","Nhân viên hỗ trợ nhiệt tình"
"Xây dựng Phương Đông","Gửi xe vào giao dịch mất tiền, phát số gọi tên  rất lâu"
"Anh Mai","Tuyệt vời! tự hào BIDV Thanh Xuân"
"Thao Phuong","Dễ tìm"
"Nguyen Thanh Huong","Tuyệt vời"
"Nguyễn Thanh Tâm","Tuyet vời"
"nguyen quyen","Nhân viên thái độ rất khó chịu."
"tuan pham","Gọi điện xin tư vấn mà mãi không nghe máy."
"Nguyễn Quỳnh","Bảo vệ có thái độ không tốt."
"Thao Do","❤️"
"Nguyễn Thắng","Tuyệt vời"
"Hà Thu Thủy","Dịch vụ tuyệt vời"
"Lee Viet","Dịch vụ tốt"
"Lý Lý","Vị trí đẹppppp"
"MyLo Trang","TX của tôi"
"Ngoc Nham","Tuyệt vời"
"19071349 Phùng Thị Mĩ Hạnh","Bảo vệ chửi khách."
"khang điền văn","Tuyệt vời"
"viet ngoc","Sang xịn mịn"
"Tày Kha Bản","Không hài lòng"
"An Châu Thúy","Tuyệt vời"
"Dương Hiếu","Ngân hàng tốt"
"MD.ABDUL HAI AL-HADI","Outside  & night view of BIDV."
"Lịch Phạm","Like"
"Khanh Man","Tuyệt vời 🤩 …"
"Hoàng Hưng",""
"Nguyenkhac Tung",""
"Nguyễn Văn Vệ",""
"Nguyen Xuan Hai",""
"Hồ Thị Thanh Hoa",""
"thi ngoc be Le",""
"thao nguyen luong",""
"Hoa Lê",""
"Hằng Minh",""
"Oanh PTN",""
"Hương Lan",""
"Anh Bao",""
"Lê Ngọc",""
"Ly Lê Thị Hương",""
"Lan Anh Nguyễn",""
"Lê Mai",""
"Ngô Đức",""
"Hai Yen Tran",""
"Phúc Nguyễn",""
"Thu Uyên Hồ",""
"nguyen hung",""
"Bảo Trung Nguyễn",""
"huy bá",""
"nga nguyen",""
"huong giang nghiem",""
"PHAM VU MINH TRANG",""
"Trang Tong",""
"kenzu TA",""
"Thị Thúy Nga Phạm",""
"Thao Ha Phuong",""
"Ngo Viet Dan",""
